# ID    ra_sdss       dec_sdss      
  1     125.0368      34.529052     
  2     147.03099     -1.1456056    
  3     243.07474     40.516962     
  4     169.50756     40.368758     
  5     165.90994     -0.74144013   
  6     153.26771     7.1811846     
  7     35.644062     -0.48394443   
  8     223.57384     20.051052     
  9     148.11494     54.125133     
  10    145.41754     27.915299     
  11    171.2333      38.776102     
  12    182.61153     36.33409      
  13    172.78938     26.535533     
  14    223.60343     59.516027     
  15    38.908049     -7.14425      
  16    117.87675     17.259522     
  17    239.59061     37.76976      
  18    113.52837     38.179833     
  19    322.18465     3.5548758     
  20    122.73287     48.259567     
  21    128.73393     30.205363     
  22    220.70064     60.529248     
  23    244.28776     33.70345      
  24    176.54382     16.829484     
  25    215.70806     1.2410576     
  26    218.60141     11.424744     
  27    356.47044     3.6640426     
  28    189.73528     3.0262674     
  29    177.54614     0.37372306    
  30    36.367567     3.8925319     
  31    117.65392     44.872817     
  32    238.7044      43.980034     
  33    222.34798     45.213114     
  34    90.786918     24.130403     
  35    10.772162     -0.58449095   
  36    39.657415     0.77115331    
  37    351.00337     6.9560151     
  38    142.54609     1.3870614     
  39    16.290692     23.825585     
  40    124.20384     46.61286      
  41    149.88542     2.177097      
  42    129.09371     4.50818       
  43    25.220378     23.487874     
  44    251.66521     23.757759     
  45    43.945172     0.52605762    
  46    56.554316     -0.77281695   
  47    240.84015     13.07509      
  48    164.83224     5.9182264     
  49    25.178649     24.32723      
  50    2.971070399   9.8422674     
  51    15.233627     -2.4170345    
  52    316.86479     6.2512777     
  53    327.49043     0.46462379    
  54    217.27764     -1.0575161    
  55    127.48689     17.28868      
  56    25.245137     12.125914     
  57    165.93317     6.2580007     
  58    243.79102     11.124744     
  59    126.74177     12.071852     
  60    341.32473     3.2000951     
  61    350.69102     -1.6614239    
  62    351.71208     -1.1749521    
  63    246.2649      39.775348     
  64    32.035264     4.7426427     
  65    139.51777     43.201719     
  66    176.47616     7.4491956     
  67    245.11057     10.185243     
  68    112.02218     40.830088     
  69    124.01858     51.683318     
  70    245.27258     38.510505     
  71    0.89213287    6.2657774     
  72    55.788111     -1.1281502    
  73    116.54422     31.670333     
  74    196.80601     -0.40772483   
  75    148.28892     -0.69344204   
  76    219.98144     30.199021     
  77    320.71621     1.2489542     
  78    114.07746     44.345061     
  79    111.87344     44.533995     
  80    320.29982     6.3597234     
  81    341.326       3.6293125     
  82    351.38134     -3.233517     
  83    20.348369     7.7669947     
  84    1.641821699   0.94231133    
  85    27.489879     25.007495     
  86    122.74132     31.356668     
  87    139.00633     24.651505     
  88    203.21874     14.856709     
  89    214.42659     32.33845      
  90    16.824696     -0.014603777  
  91    200.35759     37.836886     
  92    113.46527     44.396702     
  93    145.73087     4.6994884     
  94    128.05827     17.896772     
  95    24.844633     13.875008     
  96    111.57428     39.275538     
  97    197.08748     13.438124     
  98    22.176765     0.58615382    
  99    329.59856     3.8984371     
  100   237.45686     8.2426808     
  101   327.25666     21.671492     
  102   113.56276     47.063014     
  103   330.09596     23.190368     
  104   23.862932     -1.6557293    
  105   323.86254     0.23716106    
  106   333.52536     -1.3097729    
  107   49.882099     0.5268        
  108   240.96319     14.860742     
  109   162.70113     19.194423     
  110   235.28336     5.7150155     
  111   327.93856     6.8487211     
  112   126.18203     2.2397493     
  113   222.6309      41.091359     
  114   143.33774     -1.5858251    
  115   158.49641     -0.14357021   
  116   139.78222     36.08444      
  117   169.71689     13.210244     
  118   21.986213     -1.8099235    
  119   56.915884     -0.22335487   
  120   197.4846      21.950223     
  121   190.23277     -0.090943109  
  122   126.66612     47.432361     
  123   184.34516     13.228429     
  124   128.79488     6.3804343     
  125   318.47836     0.39704296    
  126   116.87958     23.358355     
  127   318.84546     0.47503983    
  128   123.25647     43.039143     
  129   227.24409     31.206324     
  130   114.55853     35.950799     
  131   221.11455     6.8326062     
  132   174.74711     7.5878737     
  133   127.86057     25.939522     
  134   185.55636     11.617449     
  135   131.63317     1.6679411     
  136   131.08668     5.9326301     
  137   234.61905     -1.2056441    
  138   6.8669064     9.8762354     
  139   22.702153     11.183588     
  140   230.2703      18.039157     
  141   339.76161     12.746821     
  142   250.41106     40.318854     
  143   117.45572     48.95772      
  144   26.85093      12.968164     
  145   119.58307     45.479456     
  146   345.59944     0.14683       
  147   336.89618     -2.8449874    
  148   130.13043     22.312324     
  149   166.7815      3.8921327     
  150   244.1729      21.324655     
  151   121.26664     42.358645     
  152   37.345629     0.016246245   
  153   32.750036     2.406445      
  154   174.47162     3.232534      
  155   181.09639     2.9472792     
