DATE	winddir(°)WIND (m/s)
 1010000 216   2.397
 1010100  17   1.224
 1010200 357   1.581
 1010300 255   1.173
 1010400 225   3.009
 1010500 180   2.244
 1010600 230   2.601
 1010700 154   1.071
 1010800 199   1.887
 1010900 220   1.173
 1011000 257   1.377
 1011100 288   2.040
 1011200 300   3.111
 1011300 223   4.029
 1011400 213   6.732
 1011500 201   8.466
 1011600 208   6.834
 1011700 211   6.171
 1011800 228   5.916
 1011900 223   4.182
 1012000 243   3.162
 1012100 229   2.499
 1012200 231   3.111
 1012300 224   4.743
 1020000 225   4.896
 1020100 236   2.295
 1020200 250   1.785
 1020300 264   0.306
 1020400 264   0.918
 1020500 252   1.530
 1020600 258   1.887
 1020700 256   1.275
 1020800 260   0.918
 1020900 320   0.969
 1021000 346   2.958
 1021100 335   3.366
 1021200 333   3.570
 1021300 332   3.672
 1021400 239   1.683
 1021500 207   5.559
 1021600 213   6.171
 1021700 199   5.712
 1021800 213   6.375
 1021900 221   5.712
 1022000 232   3.825
 1022100 234   3.417
 1022200 244   2.448
 1022300 262   1.479
 1030000 256   0.153
 1030100 301   1.020
 1030200 319   2.142
 1030300 325   2.601
 1030400 320   1.836
 1030500 311   2.091
 1030600 322   0.816
 1030700  13   3.162
 1030800  26   2.907
 1030900 338   3.162
 1031000 322   4.029
 1031100 314   3.927
 1031200 310   4.029
 1031300 317   6.477
 1031400 333   6.069
 1031500 318   5.508
 1031600 330   5.202
 1031700 321   4.947
 1031800 214   4.080
 1031900 219   5.049
 1032000 221   4.488
 1032100 237   3.774
 1032200 267   2.091
 1032300 281   1.683
 1040000 229   2.805
 1040100 235   2.193
 1040200 235   2.142
 1040300 261   0.663
 1040400 266   0.102
 1040500 276   0.561
 1040600 272   0.102
 1040700 268   0.000
 1040800  24   0.459
 1040900 323   1.734
 1041000 307   1.887
 1041100 307   2.754
 1041200 314   4.539
 1041300 304   5.610
 1041400 215   3.315
 1041500 193   4.845
 1041600 187   7.038
 1041700 186   6.375
 1041800 186   7.293
 1041900 213   6.273
 1042000 220   4.284
 1042100 227   4.845
 1042200 223   3.723
 1042300 234   2.142
 1050000 236   2.652
 1050100 242   1.479
 1050200 255   0.969
 1050300 213   1.530
 1050400 203   3.009
 1050500 191   4.794
 1050600 218   3.162
 1050700 213   2.907
 1050800 232   2.397
 1050900 211   1.530
 1051000 228   0.459
 1051100 267   2.550
 1051200 318   2.805
 1051300 304   4.896
 1051400 215   4.488
 1051500 190   7.497
 1051600 197   7.293
 1051700 198   5.712
 1051800 243   2.550
 1051900 217   2.856
 1052000 234   3.009
 1052100 208   3.468
 1052200 242   1.581
 1052300 218   2.397
 1060000 209   2.091
 1060100 228   2.295
 1060200 224   2.244
 1060300 218   2.346
 1060400 244   1.275
 1060500 228   2.142
 1060600 219   2.193
 1060700 215   1.785
 1060800 252   0.867
 1060900 294   1.071
 1061000 321   1.938
 1061100 319   4.335
 1061200 297   5.355
 1061300 208   6.222
 1061400 225   5.916
 1061500 216   7.497
 1061600 210   8.058
 1061700 207   8.313
 1061800 217   7.599
 1061900 210   6.120
 1062000 219   6.120
 1062100 224   5.100
 1062200 226   4.539
 1062300 238   3.315
 1070000  27   0.102
 1070100 237   2.244
 1070200 247   3.927
 1070300 240   4.641
 1070400 244   3.519
 1070500 256   3.519
 1070600 237   1.581
 1070700 237   0.918
 1070800   3   1.479
 1070900 331   1.836
 1071000 307   1.734
 1071100 289   2.448
 1071200 315   3.876
 1071300 313   4.233
 1071400 297   2.448
 1071500 315   3.264
 1071600 325   4.386
 1071700 311   2.958
 1071800 292   3.774
 1071900 234   3.621
 1072000 260   1.785
 1072100 279   1.530
 1072200 287   1.887
 1072300 330   1.479
 1080000 357   0.816
 1080100   1   1.377
 1080200  26   2.142
 1080300  18   1.122
 1080400 333   1.275
 1080500 341   1.377
 1080600 327   0.612
 1080700 348   2.907
 1080800  16   1.734
 1080900  17   0.204
 1081000 284   1.938
 1081100 294   2.346
 1081200 311   6.018
 1081300 310   5.610
 1081400 204   5.661
 1081500 200   6.222
 1081600 217   4.845
 1081700 221   7.752
 1081800 224   7.089
 1081900 223   8.619
 1082000 226   8.874
 1082100 222   7.599
 1082200 214   6.324
 1082300 225   5.763
 1090000 226   4.335
 1090100 163   1.224
 1090200 166   0.663
 1090300  36   2.550
 1090400 236   1.326
 1090500 222   2.907
 1090600 234   2.499
 1090700 237   2.244
 1090800 183   1.122
 1090900 234   1.530
 1091000 269   1.836
 1091100 330   3.927
 1091200 323   5.049
 1091300 323   6.069
 1091400 329   6.120
 1091500 317   6.783
 1091600 223   3.672
 1091700 216   4.947
 1091800 199   7.803
 1091900 215   8.262
 1092000 199   8.823
 1092100 234   6.120
 1092200 218   6.018
 1092300 204   4.539
 1100100 214   4.998
 1100200 209   5.049
 1100300 222   5.253
 1100400 211   6.426
 1100500 227   5.304
 1100600 225   5.406
 1100700 212   4.386
 1100800 214   4.284
 1100900 215   4.029
 1101000 229   2.856
 1101100 252   1.938
 1101200 316   4.386
 1101300 312   5.355
 1101400 302   2.193
 1101500 223   5.151
 1101600 216   6.375
 1101700 210   7.395
 1101800 209   6.783
 1101900 226   6.171
 1102000 237   5.355
 1102100 239   6.783
 1102200 233   6.069
 1102300 232   5.253
 1102400 194   4.998
 1110000  65   2.601
 1110100  36   1.224
 1110200  45   1.224
 1110300  17   3.060
 1110400 271   2.040
 1110500 257   3.009
 1110600 239   2.499
 1110700 352   0.663
 1110800  34   1.887
 1110900 355   1.836
 1111000 346   3.927
 1111100 327   4.233
 1111200 316   3.876
 1111300 317   4.896
 1111400 307   4.845
 1111500 303   5.151
 1111600 285   3.570
 1111700 222   3.876
 1111800 220   4.896
 1111900 212   4.692
 1112000 232   4.590
 1112100 238   3.468
 1112200 241   2.601
 1112300 253   1.377
 1120000 282   0.153
 1120100 237   2.805
 1120200 230   0.255
 1120300 264   1.020
 1120400 242   2.703
 1120500 260   1.224
 1120600 264   0.969
 1120700  46   1.479
 1120800  34   1.071
 1120900 307   2.805
 1121000 327   3.264
 1121100 322   4.131
 1121200 323   5.049
 1121300 308   6.069
 1121400 212   5.049
 1121500 219   5.763
 1121600 213   6.171
 1121700 211   6.171
 1121800 232   6.834
 1121900 233   7.497
 1122000 227   7.650
 1122100 222   7.089
 1122200 220   6.171
 1122300 220   5.304
 1130000 243   3.264
 1130100 232   3.111
 1130200 227   3.672
 1130300 227   3.774
 1130400 123   1.122
 1130500 163   2.193
 1130600 141   1.581
 1130700 144   1.938
 1130800 192   1.581
 1130900 266   0.918
 1131000 282   1.377
 1131100 317   4.488
 1131200 311   4.794
 1131300 318   6.018
 1131400 306   5.865
 1131500 255   3.060
 1131600 211   5.661
 1131700 210   7.956
 1131800 229   8.517
 1131900 230   8.109
 1132000 225   7.752
 1132100 227   7.905
 1132200 225   7.395
 1132300 222   5.712
 1140000 224   3.774
 1140100 220   2.856
 1140200 159   1.581
 1140300 214   3.723
 1140400 209   3.162
 1140500 219   4.131
 1140600 216   3.927
 1140700 201   2.346
 1140800 231   1.632
 1140900 205   2.397
 1141000 228   3.825
 1141100 219   4.845
 1141200 220   5.406
 1141300 232   5.457
 1141400 218   6.528
 1141500 218   7.803
 1141600 222   6.732
 1141700 220   8.109
 1141800 222   8.670
 1141900 221   8.568
 1142000 218   8.568
 1142100 226   5.814
 1142200 215   6.171
 1142300 214   4.794
 1150000 212   4.437
 1150100 220   3.978
 1150200 216   3.876
 1150300 224   4.437
 1150400 229   3.978
 1150500 222   2.856
 1150600 224   1.734
 1150700  73   0.714
 1150800 267   0.102
 1150900 270   0.714
 1151000 327   3.315
 1151100 336   3.825
 1151200 332   4.743
 1151300 329   4.845
 1151400 326   5.202
 1151500 322   5.253
 1151600 315   5.457
 1151700 312   2.652
 1151800 202   6.426
 1151900 225   6.783
 1152000 227   5.865
 1152100 230   4.590
 1152200 243   3.519
 1152300 246   2.652
 1160000 249   1.632
 1160100 239   0.255
 1160200 249   1.479
 1160300 241   2.142
 1160400 236   3.111
 1160500 255   1.632
 1160600 248   0.408
 1160700 139   1.071
 1160800 176   1.020
 1160900 256   1.071
 1161000 296   1.377
 1161100 324   3.519
 1161200 319   4.590
 1161300 315   5.763
 1161400 298   3.468
 1161500 232   5.967
 1161600 211   8.568
 1161700 217   8.415
 1161800 205   9.282
 1161900 206   8.364
 1162000 231   6.375
 1162100 231   7.191
 1162200 223   7.293
 1162300 219   6.630
 1170000 211   5.712
 1170100 209   6.324
 1170200 217   5.304
 1170300 216   4.947
 1170400 217   3.315
 1170500 211   4.641
 1170600 212   4.692
 1170700 220   4.029
 1170800 214   4.845
 1170900 212   4.692
 1171000 226   4.080
 1171100 211   4.998
 1171200 221   6.528
 1171300 224   6.936
 1171400 207   9.078
 1171500 205   8.976
 1171600 212   8.007
 1171700 209   8.517
 1171800 217   7.803
 1171900 226   6.222
 1172000 232   7.089
 1172100 231   7.242
 1172200 236   6.120
 1172300 225   5.355
 1180000 222   4.641
 1180100 231   3.723
 1180200 216   3.672
 1180300 227   2.856
 1180400 221   3.213
 1180500 225   2.652
 1180600 232   2.142
 1180700 217   1.530
 1180800 276   0.306
 1180900 231   2.244
 1181000 271   1.224
 1181100 314   2.703
 1181200 220   4.386
 1181300 208   4.998
 1181400 219   7.140
 1181500 213   7.854
 1181600 220   7.395
 1181700 212   8.313
 1181800 216   7.242
 1181900 227   7.242
 1182000 228   7.854
 1182100 229   7.293
 1182200 226   6.426
 1182300 220   4.845
 1190000 219   2.856
 1190100 212   2.346
 1190200 198   1.428
 1190300 210   2.499
 1190400 208   2.346
 1190500 213   1.428
 1190600 188   1.734
 1190700 223   1.989
 1190800 188   1.275
 1190900 254   1.581
 1191000 255   0.408
 1191100 320   2.601
 1191200 320   3.417
 1191300 319   3.774
 1191400 221   4.335
 1191500 223   5.253
 1191600 220   6.069
 1191700 223   7.293
 1191800 226   6.477
 1191900 230   5.508
 1192000 224   4.692
 1200000 214   4.335
 1200100 230   2.295
 1200200 212   1.989
 1200300 228   0.612
 1200400 189   1.122
 1200500 217   1.275
 1200600 229   1.071
 1200700 185   1.530
 1200800 239   1.938
 1200900 245   1.071
 1201000 326   2.193
 1201100 324   3.213
 1201200 321   2.448
 1201300 340   3.162
 1201400 288   1.632
 1201500 186   4.794
 1201600 220   3.621
 1201700 215   3.417
 1201800 202   2.142
 1201900 232   3.111
 1202000 271   0.969
 1202100 232   3.009
 1202200 225   1.326
 1202300 200   2.346
